id,Park name,Observed on,Taxon name,URL,Number of observation photo,Image number,Tagged by,Flower_Genus,Flower_species,Flower_IDer,FLW_ID_Conf,Notes,project
12323,Broward_Long Key Natural Area and Nature Center,3/6/2011,Marpesia petreus,http://www.inaturalist.org/observations/12323,2,1,Tessa,Pluchea,NA,Jake,100%,NA,Thomas
12324,Broward_Long Key Natural Area and Nature Center,3/6/2011,Vanessa atalanta,http://www.inaturalist.org/observations/12324,1,1,Tessa,Pluchea,NA,Jake,100%,NA,Thomas
12747,Broward_Long Key Natural Area and Nature Center,3/12/2011,Papilio palamedes,http://www.inaturalist.org/observations/12747,1,1,Tessa,Salvia,coccinia,Jake,100%,NA,Thomas
12876,Broward_Pine Island Ridge Natural Area,3/15/2011,Eumaeus atala,http://www.inaturalist.org/observations/12876,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
15295,Broward_Secret Woods Park,4/25/2011,Phocides pigmalion,http://www.inaturalist.org/observations/15295,2,1,Lucas,Pentas,lanceolata,Toni,100%,NA,Thomas
17051,Broward_Long Key Natural Area and Nature Center,5/7/2011,Papilio palamedes,http://www.inaturalist.org/observations/17051,1,1,Tessa,Salvia,coccinia,Jake,100%,NA,Thomas
17614,Broward_Long Key Natural Area and Nature Center,5/19/2011,Pontia protodice,http://www.inaturalist.org/observations/17614,1,1,Tessa,Bidens,alba,Jake,100%,NA,Thomas
17879,Broward_Long Key Natural Area and Nature Center,5/21/2011,Pyrausta tyralis,http://www.inaturalist.org/observations/17879,1,1,Tessa,Bidens,alba,Jake,100%,NA,Thomas
39105,Broward_Anne Kolb Nature Center,11/14/2011,Syntomeida epilais jucundissima,http://www.inaturalist.org/observations/39105,2,1,Brittany,Lantana,strigocamara,Jake,100%,NA,Thomas
482152,Broward_Fern Forest Nature Center,10/6/2013,Anartia jatrophae,http://www.inaturalist.org/observations/482152,NA,NA,Thomas,Sphagneticola,trilobata,Toni,100%,NA,NA
523359,Broward_Markham Park,2/1/2014,Thorybes dorantes,http://www.inaturalist.org/observations/523359,2,2,Noelle,Bidens,alba,Jake,NA,Two species in photos of flowers,Thomas
523360,Broward_Markham Park,2/1/2014,Danaus plexippus,http://www.inaturalist.org/observations/523360,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
523362,Broward_Markham Park,2/1/2014,Strymon istapa,http://www.inaturalist.org/observations/523362,1,1,Noelle,Spermacoce,verticillata,Toni,100%,NA,Thomas
713535,Pembroke Pines_Chapel Trail Nature Preserve,6/1/2014,Dryas iulia,http://www.inaturalist.org/observations/713535,2,1,Lucas,Cissus,verticillata,Toni,100%,NA,Thomas
1378658,Pembroke Pines_Chapel Trail Nature Preserve,4/1/2015,Heliconius charithonia,http://www.inaturalist.org/observations/1378658,1,1,Lucas,Bidens,alba,Toni,100%,NA,Thomas
1870995,Broward_Tradewinds Park,8/10/2015,Phoebis sennae,http://www.inaturalist.org/observations/1870995,1,1,Lucas,Alysicarpus,vaginalis,Toni,<80%,Could be indigofera?,Thomas
2615720,Broward_Markham Park,1/16/2016,Phoebis philea,http://www.inaturalist.org/observations/2615720,1,1,Noelle,Salvia,coccinea,Toni,100%,NA,Thomas
2615721,Broward_Markham Park,1/16/2016,Dione vanillae,http://www.inaturalist.org/observations/2615721,1,1,Noelle,Symphyotichum,cf simmondsii,Lange,NA,on a senesced aster,Thomas
2615722,Broward_Markham Park,1/16/2016,Heliconius charithonia,http://www.inaturalist.org/observations/2615722,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
2615723,Broward_Markham Park,1/16/2016,Dryas iulia,http://www.inaturalist.org/observations/2615723,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
2615816,Broward_Markham Park,1/16/2016,Dryas iulia,http://www.inaturalist.org/observations/2615816,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
2615818,Broward_Markham Park,1/16/2016,Danaus plexippus,http://www.inaturalist.org/observations/2615818,NA,NA,Thomas,Odontonema,NA,Toni,100%,NA,NA
2712040,Broward_Markham Park,2/6/2016,Burnsius oileus,http://www.inaturalist.org/observations/2712040,1,1,Noelle,Ludwigia,octovalvis,Toni,100%,NA,Thomas
2712041,Broward_Markham Park,2/6/2016,Phoebis sennae,http://www.inaturalist.org/observations/2712041,1,1,Noelle,Salvia,coccinea,Toni,100%,NA,Thomas
3368030,Broward_Markham Park,4/26/2016,Dryas iulia,http://www.inaturalist.org/observations/3368030,1,1,Noelle,Bidens,alba,Toni,>80%,NA,Thomas
3370320,Broward_Markham Park,4/26/2016,Heliconius charithonia,http://www.inaturalist.org/observations/3370320,2,1,Noelle,Lantana,strigocamara,Toni,100%,NA,Thomas
3438365,Broward_Markham Park,2/6/2016,Thorybes dorantes,http://www.inaturalist.org/observations/3438365,1,1,Noelle,Waltheria,indica,Toni,100%,NA,Thomas
3739993,Broward_Anne Kolb Nature Center,3/27/2015,Heliconius charithonia,http://www.inaturalist.org/observations/3739993,1,1,Brittany,Chrysobalanus,icaco,Jake,100%,NA,Thomas
3776414,Broward_Markham Park,7/31/2016,Leptotes cassius,http://www.inaturalist.org/observations/3776414,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
4043391,Broward_Secret Woods Park,9/4/2016,Phoebis statira,http://www.inaturalist.org/observations/4043391,1,1,Lucas,Hamelia,patens,Toni,100%,NA,Thomas
4043393,Broward_Secret Woods Park,9/4/2016,Heliconius charithonia,http://www.inaturalist.org/observations/4043393,1,1,Lucas,Hamelia,patens,Toni,100%,NA,Thomas
4043394,Broward_Secret Woods Park,9/4/2016,Phoebis statira,http://www.inaturalist.org/observations/4043394,1,1,Lucas,Hamelia,patens,Toni,100%,NA,Thomas
4043587,Plantation_Plantation Preserve Park & Linear Trail,9/5/2016,Danaus gilippus,http://www.inaturalist.org/observations/4043587,NA,NA,Thomas,Hamelia,patens,Toni,100%,NA,NA
4043601,Plantation_Plantation Preserve Park & Linear Trail,9/5/2016,Leptotes cassius,http://www.inaturalist.org/observations/4043601,NA,NA,Thomas,Forestiera,segregata,Toni,100%,NA,NA
4048106,Broward_Markham Park,1/3/2016,Danaus plexippus,http://www.inaturalist.org/observations/4048106,1,1,Noelle,Bidens,alba,Jake,100%,NA,Thomas
4126513,Broward_Markham Park,12/12/2015,Syntomeida epilais,http://www.inaturalist.org/observations/4126513,1,1,Noelle,Cestrum,diurnum,Toni,100%,NA,Thomas
4719005,Broward_Tree Tops Park,12/5/2016,Marpesia petreus,http://www.inaturalist.org/observations/4719005,1,1,Lucas,Chromolaena,odorata,Toni,100%,NA,Thomas
4719006,Broward_Tree Tops Park,12/5/2016,Heliconius charithonia,http://www.inaturalist.org/observations/4719006,1,1,Lucas,Bidens,alba,Toni,100%,NA,Thomas
6146578,Broward_Tree Tops Park,5/8/2017,Marpesia petreus,https://www.inaturalist.org/observations/6146578,1,1,Lucas,Psychotria,nervosa,Toni,100%,NA,Thomas
6146583,Broward_Tree Tops Park,5/8/2017,Danaus gilippus,https://www.inaturalist.org/observations/6146583,1,1,Lucas,Bidens,alba,Toni,100%,NA,Thomas
6230767,Broward_Markham Park,5/15/2017,Pontia protodice,https://www.inaturalist.org/observations/6230767,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
6981329,Broward_Fern Forest Nature Center,7/4/2017,Heliconius charithonia,https://www.inaturalist.org/observations/6981329,NA,NA,Thomas,Lythrum,alatum,Lange,NA,NA,NA
7418586,Broward_Secret Woods Park,8/7/2017,Heliconius charithonia,https://www.inaturalist.org/observations/7418586,1,1,Lucas,Melanthera,sp.,Lange,NA,NA,Thomas
8887797,Broward_Highlands Scrub Natural Area,11/20/2017,Apis mellifera,https://www.inaturalist.org/observations/8887797,NA,NA,Thomas,Pityopsis,NA,Toni,100%,NA,NA
8887801,Broward_Highlands Scrub Natural Area,11/20/2017,Leptotes cassius,https://www.inaturalist.org/observations/8887801,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
9165692,Davie_Robbins Preserve,12/15/2017,Marpesia petreus,https://www.inaturalist.org/observations/9165692,NA,NA,Thomas,Chromolaena,odorata,Toni,100%,NA,NA
9276432,Broward_Fern Forest Nature Center,12/27/2017,Heliconius charithonia,https://www.inaturalist.org/observations/9276432,NA,NA,Thomas,Lantana,strigocamara,Toni,100%,NA,NA
9633228,Broward_Long Key Natural Area and Nature Center,1/27/2018,Danaus gilippus,https://www.inaturalist.org/observations/9633228,1,1,Tessa,Bidens,alba,Jake,100%,NA,Thomas
9633612,Broward_Long Key Natural Area and Nature Center,1/27/2018,Danaus gilippus,https://www.inaturalist.org/observations/9633612,1,1,Tessa,Richardia,grandiflora,Jake,100%,NA,Thomas
9696825,Broward_Markham Park,2/1/2018,Danaus gilippus,https://www.inaturalist.org/observations/9696825,1,1,Noelle,Melanthera,NA,Toni,100%,NA,Thomas
9919906,Broward_Long Key Natural Area and Nature Center,2/19/2018,Papilio palamedes,https://www.inaturalist.org/observations/9919906,1,1,Tessa,Richardia,grandiflora,Jake,100%,NA,Thomas
10072295,Broward_CB Smith Park,3/3/2018,Eurema daira,https://www.inaturalist.org/observations/10072295,NA,NA,Thomas,Spermacoce,verticillata,Toni,100%,NA,NA
10073733,Broward_CB Smith Park,3/3/2018,Apis mellifera,https://www.inaturalist.org/observations/10073733,NA,NA,Thomas,Spermacoce,verticillata,Toni,100%,NA,NA
10073873,Broward_CB Smith Park,3/3/2018,Epipagis forsythae,https://www.inaturalist.org/observations/10073873,NA,NA,Thomas,Spermacoce,verticillata,Toni,100%,NA,NA
10709605,Broward_Anne Kolb Nature Center,4/7/2018,Apis mellifera,https://www.inaturalist.org/observations/10709605,1,1,Brittany,Bidens,alba,Jake,100%,NA,Thomas
11629703,Broward_Anne Kolb Nature Center,4/28/2018,Heliconius charithonia,https://www.inaturalist.org/observations/11629703,1,1,Brittany,Psychotria,nervosa,Jake,100%,NA,Thomas
13285757,Broward_Markham Park,4/4/2016,Dryas iulia,https://www.inaturalist.org/observations/13285757,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
15120320,Broward_Quiet Waters Park,8/4/2018,Hylephila phyleus,https://www.inaturalist.org/observations/15120320,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
15125340,Broward_Markham Park,7/5/2018,Syngamia florella,https://www.inaturalist.org/observations/15125340,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
15353129,Broward_Quiet Waters Park,8/11/2018,Syngamia florella,https://www.inaturalist.org/observations/15353129,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
15384928,Pembroke Pines_Chapel Trail Nature Preserve,3/29/2013,Dryas iulia,https://www.inaturalist.org/observations/15384928,1,1,Lucas,Bidens,alba,Toni,100%,NA,Thomas
15702381,Broward_Markham Park,8/17/2018,Danaus gilippus,https://www.inaturalist.org/observations/15702381,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
15702385,Broward_Markham Park,8/17/2018,Heliconius charithonia,https://www.inaturalist.org/observations/15702385,1,1,Noelle,Hamelia,patens,Toni,100%,NA,Thomas
15702391,Broward_Markham Park,8/17/2018,Anartia jatrophae,https://www.inaturalist.org/observations/15702391,1,1,Noelle,Cuphea,strigulosa,Toni,100%,NA,Thomas
16097926,Broward_Snake Warriors Island,9/1/2018,Anartia jatrophae,https://www.inaturalist.org/observations/16097926,NA,NA,Thomas,Phyla,nodiflora,Lange,NA,NA,NA
16301958,Broward_Pine Island Ridge Natural Area,7/28/2015,Leptotes cassius,https://www.inaturalist.org/observations/16301958,NA,NA,Thomas,Euphorbia,cyathophora,Toni,100%,NA,NA
16599653,Coconut Creek_George S. Gerber Memorial Park,9/16/2018,Apis mellifera,https://www.inaturalist.org/observations/16599653,NA,NA,Thomas,Hamelia,patens,Toni,100%,NA,NA
16947054,Broward_Long Key Natural Area and Nature Center,9/22/2018,Cymaenes tripunctus,https://www.inaturalist.org/observations/16947054,1,1,Tessa,Bidens,alba,Jake,100%,NA,Thomas
16985052,Broward_Tree Tops Park,9/24/2018,Dione vanillae,https://www.inaturalist.org/observations/16985052,NA,NA,Thomas,Sida,ulmifolia,Toni,100%,NA,NA
17118773,Broward_Secret Woods Park,10/1/2018,Apis mellifera,https://www.inaturalist.org/observations/17118773,1,1,Lucas,Bidens,alba,Toni,100%,NA,Thomas
17118774,Broward_Secret Woods Park,10/1/2018,Phoebis statira,https://www.inaturalist.org/observations/17118774,1,1,Lucas,Asclepias,curassavica,Toni,100%,NA,Thomas
18064400,Broward_Pine Island Ridge Natural Area,11/3/2018,Dione vanillae,https://www.inaturalist.org/observations/18064400,NA,NA,Thomas,Richardia,grandiflora,Toni,100%,NA,NA
18064843,Broward_Tree Tops Park,11/3/2018,Dione vanillae,https://www.inaturalist.org/observations/18064843,1,1,Lucas,Richardia,grandiflora,Toni,100%,NA,Thomas
18065174,Broward_Tree Tops Park,11/3/2018,Dione vanillae,https://www.inaturalist.org/observations/18065174,2,1,Lucas,Richardia,grandiflora,Toni,100%,NA,Thomas
18067309,Broward_Tree Tops Park,11/3/2018,Anartia jatrophae,https://www.inaturalist.org/observations/18067309,1,1,Lucas,Bidens,alba,Toni,100%,NA,Thomas
18078619,Broward_Tree Tops Park,11/3/2018,Anartia jatrophae,https://www.inaturalist.org/observations/18078619,2,2,Lucas,Richardia,grandiflora,Toni,100%,NA,Thomas
18082119,Broward_Pine Island Ridge Natural Area,11/3/2018,Hylephila phyleus,https://www.inaturalist.org/observations/18082119,NA,NA,Thomas,Richardia,grandiflora,Toni,100%,NA,NA
18082120,Broward_Pine Island Ridge Natural Area,11/3/2018,Marpesia petreus,https://www.inaturalist.org/observations/18082120,NA,NA,Thomas,Richardia,grandiflora,Toni,100%,NA,NA
18082121,Broward_Pine Island Ridge Natural Area,11/3/2018,Danaus plexippus,https://www.inaturalist.org/observations/18082121,NA,NA,Thomas,Richardia,grandiflora,Toni,100%,NA,NA
18082122,Broward_Pine Island Ridge Natural Area,11/3/2018,Dione vanillae,https://www.inaturalist.org/observations/18082122,NA,NA,Thomas,NA,NA,NA,NA,in air,NA
18082138,Broward_Tree Tops Park,11/3/2018,Syngamia florella,https://www.inaturalist.org/observations/18082138,1,1,Lucas,Richardia,grandiflora,Toni,100%,NA,Thomas
18091372,Broward_Tree Tops Park,11/3/2018,Marpesia petreus,https://www.inaturalist.org/observations/18091372,1,1,Lucas,Psychotria,nervosa,Adam,>80%,NA,Thomas
18141172,Broward_Tree Tops Park,11/3/2018,Dione vanillae,https://www.inaturalist.org/observations/18141172,1,1,Lucas,Cestrum,diurnum,Toni,100%,NA,Thomas
18704975,Broward_Pine Island Ridge Natural Area,11/24/2018,Danaus gilippus berenice,https://www.inaturalist.org/observations/18704975,NA,NA,Thomas,Spermacoce,verticillata,Toni,100%,NA,NA
19158165,Broward_Tall Cypress Natural Area,12/19/2018,Dione vanillae,https://www.inaturalist.org/observations/19158165,NA,NA,Thomas,Richardia,grandiflora,Toni,100%,NA,NA
20059623,Broward_CB Smith Park,2/3/2019,Apis mellifera,https://www.inaturalist.org/observations/20059623,NA,NA,Thomas,Spermacoce,verticillata,Toni,100%,NA,NA
21629470,Broward_Markham Park,3/25/2019,Danaus plexippus,https://www.inaturalist.org/observations/21629470,1,1,Noelle,Salvia,sp.,Lange,NA,Ornamental mint,Thomas
21780390,Broward_Quiet Waters Park,3/30/2019,Apis mellifera,https://www.inaturalist.org/observations/21780390,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
21786098,Broward_Quiet Waters Park,3/30/2019,Strymon istapa,https://www.inaturalist.org/observations/21786098,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
21786231,Broward_Quiet Waters Park,3/30/2019,Strymon istapa,https://www.inaturalist.org/observations/21786231,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
21786537,Broward_Quiet Waters Park,3/30/2019,Danaus plexippus,https://www.inaturalist.org/observations/21786537,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
21786582,Broward_Quiet Waters Park,3/30/2019,Euphoria sepulcralis,https://www.inaturalist.org/observations/21786582,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
21786622,Broward_Quiet Waters Park,3/30/2019,Dione vanillae,https://www.inaturalist.org/observations/21786622,13,1,MaryJo,Richardia,grandiflora,Toni,100%,NA,Thomas
21786826,Broward_Quiet Waters Park,3/30/2019,Asbolis capucinus,https://www.inaturalist.org/observations/21786826,1,1,MaryJo,Salvia,coccinea,Toni,100%,NA,Thomas
21787159,Broward_Quiet Waters Park,3/30/2019,Strymon istapa,https://www.inaturalist.org/observations/21787159,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
21787161,Broward_Quiet Waters Park,3/30/2019,Asbolis capucinus,https://www.inaturalist.org/observations/21787161,1,1,MaryJo,Salvia,coccinea,Toni,100%,On a senesced flower,Thomas
21787873,Broward_Quiet Waters Park,3/30/2019,Anartia jatrophae,https://www.inaturalist.org/observations/21787873,1,1,MaryJo,Richardia,grandiflora,Toni,100%,NA,Thomas
21787884,Broward_Quiet Waters Park,3/30/2019,Strymon istapa,https://www.inaturalist.org/observations/21787884,1,1,MaryJo,Varronia,bullata,Toni,100%,NA,Thomas
21787997,Broward_Quiet Waters Park,3/30/2019,Strymon istapa,https://www.inaturalist.org/observations/21787997,1,1,MaryJo,Varronia,bullata,Toni,100%,NA,Thomas
21789908,Coconut Creek_George S. Gerber Memorial Park,3/30/2019,Erynnis horatius,https://www.inaturalist.org/observations/21789908,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
21792106,Broward_Quiet Waters Park,3/30/2019,Erynnis horatius,https://www.inaturalist.org/observations/21792106,4,1,MaryJo,Stachytarpheta,jamaicensis,Toni,100%,NA,Thomas
21796804,Broward_Quiet Waters Park,3/30/2019,Euphoria sepulcralis,https://www.inaturalist.org/observations/21796804,4,1,MaryJo,Asteraceae,NA,NA,NA,Small portion of flower visible,Thomas
21859716,Broward_Quiet Waters Park,3/30/2019,Strymon istapa,https://www.inaturalist.org/observations/21859716,1,1,MaryJo,Varronia,bullata,Toni,100%,NA,Thomas
21947672,Broward_Quiet Waters Park,3/30/2019,Dione vanillae,https://www.inaturalist.org/observations/21947672,2,1,MaryJo,Salvia,coccinea,Toni,100%,NA,Thomas
22039991,Broward_Quiet Waters Park,3/30/2019,Euphoria sepulcralis,https://www.inaturalist.org/observations/22039991,2,1,MaryJo,Asteraceae,NA,NA,NA,Small portion of flower visible,Thomas
22121029,Broward_Quiet Waters Park,3/30/2019,Hylephila phyleus,https://www.inaturalist.org/observations/22121029,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
22121032,Broward_Quiet Waters Park,3/30/2019,Syngamia florella,https://www.inaturalist.org/observations/22121032,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
22121036,Broward_Quiet Waters Park,3/30/2019,Burnsius oileus,https://www.inaturalist.org/observations/22121036,1,1,MaryJo,Richardia,grandiflora,Toni,100%,NA,Thomas
22121037,Broward_Quiet Waters Park,3/30/2019,Heliconius charithonia,https://www.inaturalist.org/observations/22121037,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
22121039,Broward_Quiet Waters Park,3/30/2019,Erynnis horatius,https://www.inaturalist.org/observations/22121039,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
22121042,Broward_Quiet Waters Park,3/30/2019,Apis mellifera,https://www.inaturalist.org/observations/22121042,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
22121043,Broward_Quiet Waters Park,3/30/2019,Anartia jatrophae,https://www.inaturalist.org/observations/22121043,1,1,MaryJo,Bidens,alba,Toni,100%,NA,Thomas
22121053,Broward_Quiet Waters Park,3/30/2019,Eurema daira,https://www.inaturalist.org/observations/22121053,1,1,MaryJo,Richardia,grandiflora,Toni,100%,NA,Thomas
22121084,Broward_Quiet Waters Park,3/30/2019,Dione vanillae,https://www.inaturalist.org/observations/22121084,1,1,MaryJo,Salvia,NA,Toni,100%,On a senesced flower,Thomas
22137230,Broward_Quiet Waters Park,3/30/2019,Thorybes dorantes,https://www.inaturalist.org/observations/22137230,1,1,MaryJo,Richardia,grandiflora,Toni,100%,NA,Thomas
22137279,Broward_Quiet Waters Park,3/30/2019,Urbanus proteus,https://www.inaturalist.org/observations/22137279,1,1,MaryJo,Varronia,bullata,Toni,100%,NA,Thomas
22935997,Broward_Markham Park,2/8/2016,Heliconius charithonia,https://www.inaturalist.org/observations/22935997,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
23956448,Broward_Long Key Natural Area and Nature Center,4/28/2019,Heraclides cresphontes,https://www.inaturalist.org/observations/23956448,1,1,Tessa,Psychotria,nervosa,Jake,100%,NA,Thomas
23961864,Broward_Long Key Natural Area and Nature Center,4/28/2019,Dryas iulia,https://www.inaturalist.org/observations/23961864,1,1,Tessa,Bidens,alba,Jake,100%,NA,Thomas
23962595,Broward_Long Key Natural Area and Nature Center,4/28/2019,Marpesia petreus,https://www.inaturalist.org/observations/23962595,1,1,Tessa,Bidens,alba,Jake,100%,NA,Thomas
23969981,Broward_Long Key Natural Area and Nature Center,4/28/2019,Hylephila phyleus,https://www.inaturalist.org/observations/23969981,1,1,Tessa,Richardia,grandiflora,Jake,100%,NA,Thomas
24219489,Plantation_Hoffman Park,9/30/2018,Heraclides cresphontes,https://www.inaturalist.org/observations/24219489,NA,NA,Thomas,Pentas,lanceolata,Toni,100%,NA,NA
24336456,Plantation_Hoffman Park,10/20/2007,Megachile parallela,https://www.inaturalist.org/observations/24336456,NA,NA,Thomas,Cosmos,sulphureus,Toni,100%,NA,NA
24337145,Plantation_Hoffman Park,10/27/2012,Thorybes dorantes,https://www.inaturalist.org/observations/24337145,NA,NA,Thomas,Cosmos,sulphureus,Toni,100%,NA,NA
25674886,Broward_Topeekeegee Yugnee Park,5/24/2019,Eumaeus atala,https://www.inaturalist.org/observations/25674886,NA,NA,Thomas,Hamelia,patens,Toni,100%,NA,NA
25885424,Coconut Creek_George S. Gerber Memorial Park,5/27/2019,Apis mellifera,https://www.inaturalist.org/observations/25885424,NA,NA,Thomas,Bidens,alba,Toni,100%,NA,NA
26094481,Broward_Secret Woods Park,4/24/2019,Danaus plexippus,https://www.inaturalist.org/observations/26094481,1,1,Lucas,Asclepias,curassavica,Toni,100%,NA,Thomas
26161676,Broward_Markham Park,5/31/2019,Erynnis horatius,https://www.inaturalist.org/observations/26161676,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
27278964,Broward_Vista View Park,6/19/2019,Pyrausta tyralis,https://www.inaturalist.org/observations/27278964,NA,NA,Thomas,Richardia,grandiflora,Toni,100%,NA,NA
28031328,Coconut Creek_George S. Gerber Memorial Park,6/29/2019,Apis mellifera,https://www.inaturalist.org/observations/28031328,NA,NA,Thomas,Jatropha,integerrima,Toni,100%,NA,NA
28117391,Broward_Tall Cypress Natural Area,5/5/2019,Marpesia petreus,https://www.inaturalist.org/observations/28117391,NA,NA,Thomas,Psychotria,sp.,Lange,NA,NA,NA
28295884,Coconut Creek_George S. Gerber Memorial Park,7/5/2019,Dione vanillae,https://www.inaturalist.org/observations/28295884,NA,NA,Thomas,Pentas,lanceolata,Toni,100%,NA,NA
28296929,Coconut Creek_George S. Gerber Memorial Park,7/4/2019,Heliconius charithonia,https://www.inaturalist.org/observations/28296929,NA,NA,Thomas,Hamelia,patens,Toni,100%,NA,NA
28394078,Broward_Markham Park,7/7/2019,Heliconius charithonia,https://www.inaturalist.org/observations/28394078,1,1,Noelle,Hamelia,patens,Toni,100%,NA,Thomas
28394452,Broward_Markham Park,7/7/2019,Danaus gilippus,https://www.inaturalist.org/observations/28394452,1,1,Noelle,Spermacoce,verticillata,Toni,100%,NA,Thomas
28394653,Broward_Markham Park,7/7/2019,Danaus gilippus,https://www.inaturalist.org/observations/28394653,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
28395545,Broward_Markham Park,7/7/2019,Lerodea eufala,https://www.inaturalist.org/observations/28395545,1,1,Noelle,Richardia,grandiflora,Toni,100%,NA,Thomas
28396532,Broward_Markham Park,7/7/2019,Hylephila phyleus,https://www.inaturalist.org/observations/28396532,1,1,Noelle,Spermacoce,verticillata,Toni,100%,NA,Thomas
28396660,Broward_Markham Park,7/7/2019,Atalopedes huron,https://www.inaturalist.org/observations/28396660,1,1,Noelle,Bidens,alba,Toni,100%,NA,Thomas
28397085,Broward_Markham Park,7/7/2019,Thorybes dorantes,https://www.inaturalist.org/observations/28397085,1,1,Noelle,Cestrum,diurnum,Toni,100%,NA,Thomas
28397713,Broward_Markham Park,7/7/2019,Cymaenes tripunctus,https://www.inaturalist.org/observations/28397713,1,1,Noelle,Phyla,nodiflora,Toni,100%,NA,Thomas
28397857,Broward_Markham Park,7/7/2019,Dione vanillae,https://www.inaturalist.org/observations/28397857,1,1,Noelle,Cestrum,diurnum,Toni,100%,NA,Thomas
28399303,Broward_Markham Park,7/7/2019,Apis mellifera,https://www.inaturalist.org/observations/28399303,1,1,MaryJo,Callicarpa,americana,Toni,100%,NA,Thomas
29203408,Coconut Creek_George S. Gerber Memorial Park,7/18/2019,Apis mellifera,https://www.inaturalist.org/observations/29203408,NA,NA,Thomas,Pentas,lanceolata,Toni,100%,NA,NA
29797462,Broward_Topeekeegee Yugnee Park,7/29/2019,Erynnis horatius,https://www.inaturalist.org/observations/29797462,NA,NA,Thomas,Sphagneticola,trilobata,Toni,100%,NA,NA
30442002,Broward_Plantation Heritage Park,10/16/2018,Atteva aurea,https://www.inaturalist.org/observations/30442002,NA,NA,Thomas,Spermacoce,verticillata,Toni,100%,NA,NA
